Id,Age,Rank,Year,Time,Pace,Sex
109,30,2139,2013,6916,527,1
110,40,1893,2015,17384,663,1
110,40,2171,2016,17893,683,1
111,45,2766,2016,20831,796,0
112,25,2141,2016,17791,680,0
112,25,1561,2015,16309,622,0
113,30,1315,2016,15470,591,0
114,35,316,2016,12667,484,1
115,55,1406,2016,15769,602,1
116,25,1393,2016,15726,601,0
117,45,174,2016,12067,461,1
118,35,1029,2016,14671,560,1
119,30,284,2016,12582,481,1
120,40,1899,2016,17076,652,1
121,40,1031,2016,14682,561,0
122,15,1773,2016,16739,639,0
123,38,417,2006,13367,510,1
123,45,789,2016,14094,538,1
123,39,300,2007,13336,509,1
123,42,551,2010,13979,533,1
123,45,278,2015,12814,489,1
124,30,849,2016,14230,544,0
125,15,2348,2016,18599,710,1
126,30,940,2016,14399,550,1
127,35,477,2016,13275,507,1
128,45,1898,2016,17073,652,0
129,25,2727,2016,20505,783,1
130,50,1508,2016,16020,612,1
131,55,2906,2016,22184,847,0
132,30,2161,2015,18581,709,0
132,35,2179,2016,17916,684,0
133,55,2161,2016,17867,682,1
133,55,2119,2015,18277,697,1
134,30,889,2015,14488,552,1
134,35,762,2016,14044,537,1
135,50,1227,2016,15206,581,1
135,50,1434,2015,15987,610,1
136,45,1558,2016,16125,616,1
137,34,2068,2011,16468,628,0
137,35,1255,2016,15282,584,0
138,50,1917,2015,17508,668,0
138,50,1357,2014,15975,609,0
138,50,1319,2016,15477,591,0
139,40,599,2016,13615,520,0
140,40,823,2016,14169,541,1
141,30,1124,2015,15198,580,0
141,30,2145,2016,17808,680,0
141,25,2795,2010,22787,869,0
141,29,3218,2014,21333,814,0
142,35,192,2016,12165,465,1
142,33,159,2014,12408,473,1
143,40,757,2016,14026,536,0
144,39,1838,2014,16953,647,1
144,40,1373,2015,15852,605,1
144,40,1525,2016,16060,613,1
145,41,2337,2011,17041,650,0
145,45,2068,2016,17535,670,0
145,42,2003,2012,16383,625,0
145,40,1963,2010,17781,678,0
146,35,2365,2016,18688,714,0
147,20,2288,2016,18334,700,1
148,30,287,2016,12593,481,1
149,20,2351,2016,18601,710,0
150,25,2937,2016,22768,869,0
151,50,1258,2016,15291,584,1
151,50,1481,2012,15413,588,1
151,49,1716,2011,15705,599,1
151,50,1018,2015,14868,567,1
151,48,1718,2010,17075,651,1
152,40,1565,2016,16147,617,1
153,30,2148,2016,17822,681,1
154,35,1759,2016,16699,638,0
154,35,2070,2015,18022,687,0
155,25,430,2016,13117,501,0
156,40,1820,2016,16865,644,0
157,35,107,2016,11634,445,1
158,41,1831,2010,17385,663,1
158,42,1822,2011,15916,607,1
158,45,1208,2016,15146,579,1
158,45,1725,2014,16719,638,1
159,50,2134,2016,17775,679,1
160,45,1018,2016,14634,559,1
161,35,2408,2016,18895,722,1
162,30,576,2016,13550,518,0
163,57,2510,2011,17512,668,1
163,60,2229,2016,18091,691,1
