,Id,Age,Rank,Year,Time,Pace,Sex,Temp,halfMarathonTime,yrsSinceLast,raceCount,prevRaceCount,nTime,nPace,nRank
58,31,45,372,2015,13110,500,1,11.7,,0,2,0,0.134811046512,0.178488038278,0.17853560682
59,31,45,313,2016,12657,484,1,12.2,,1,2,1,0.102429415627,0.146643959868,0.147429679922
60,32,35,1685,2011,15632,596,1,11.1,,0,2,0,0.476109697484,0.311799926683,0.311632870864
61,32,35,2996,2016,24194,924,1,12.2,,5,2,1,0.983256730138,0.573766243382,0.574199806014
62,33,30,949,2016,14430,551,0,12.2,,0,1,0,0.31122783979,0.212283884343,0.212415130941
63,34,45,2763,2016,20820,795,1,12.2,,0,1,0,0.906762967827,0.448854170523,0.4490785645
64,35,45,326,2016,12720,486,1,12.2,,0,1,0,0.106697307945,0.148976342971,0.149369544132
65,36,55,2537,2016,19427,742,1,12.2,,0,1,0,0.832567301379,0.397282588575,0.397672162949
66,37,45,1062,2016,14780,565,1,12.2,,1,2,1,0.348325673014,0.22524156825,0.225994180407
67,37,45,1888,2015,17373,663,1,11.7,,0,2,0,0.685683139535,0.34166507177,0.342026078235
68,38,50,375,2016,12930,494,1,12.2,,0,1,0,0.122783978989,0.156750953315,0.15712900097
69,39,40,1005,2016,14583,557,1,12.2,,0,1,0,0.329612606697,0.217948243308,0.218234723569
70,40,45,266,2016,12531,479,1,12.2,,3,2,1,0.0869993434012,0.141979193662,0.142580019399
71,40,40,779,2013,12983,495,1,19.4,6220.0,0,2,0,0.205006587615,0.305780867774,0.305743243243
72,41,35,2394,2014,18324,699,0,22.8,,0,2,0,0.675797797232,0.399004295981,0.398947368421
73,41,35,1605,2016,16266,621,0,12.2,,2,2,1,0.526592252134,0.280256191922,0.280310378274
74,42,35,182,2016,12130,463,1,12.2,,0,1,0,0.0594221930401,0.1271333901,0.127061105723
75,43,35,782,2016,14082,538,1,12.2,,0,1,0,0.256401838477,0.199400244345,0.199806013579
76,44,40,1399,2016,15746,601,1,12.2,,0,1,0,0.458962573867,0.261004775832,0.260911736178
77,45,40,2838,2014,19761,754,1,22.8,,0,3,0,0.80118610562,0.456698919982,0.456842105263
78,45,45,1767,2015,16963,647,1,11.7,,1,3,1,0.641715116279,0.325971291866,0.325977933801
79,45,45,1626,2016,16317,623,1,12.2,,1,3,2,0.533486539724,0.282144311577,0.282250242483
80,46,45,2172,2014,17728,676,1,22.8,,0,2,0,0.613103643039,0.375075280042,0.374736842105
81,46,40,478,2016,13280,507,1,12.2,,2,2,1,0.156598818122,0.169708637222,0.169738118332
82,47,20,2697,2016,20278,774,1,12.2,,0,1,0,0.885095206829,0.428788271445,0.428709990301
83,48,30,2049,2016,17499,668,1,12.2,,0,1,0,0.672357189757,0.325904261227,0.325897187197
84,49,35,367,2016,12888,492,1,12.2,,0,1,0,0.120157583716,0.155196031247,0.15518913676
85,50,35,827,2016,14180,542,1,12.2,,1,2,1,0.271175311884,0.203028395839,0.203685741998
86,50,35,455,2015,13335,508,1,11.7,,0,2,0,0.164970930233,0.187100478469,0.186559679037
87,51,50,2344,2015,19575,747,1,11.7,,0,2,0,0.851380813953,0.42595215311,0.42627883651
88,51,55,2851,2016,21669,828,1,12.2,,1,2,1,0.935653315824,0.480285809485,0.481086323957
89,52,40,221,2016,12342,472,1,12.2,,0,1,0,0.0722258699934,0.134982044352,0.135790494665
90,53,45,3474,2014,23173,884,1,22.8,,0,2,0,0.980796385202,0.593688521299,0.593684210526
91,53,50,2629,2016,19818,757,1,12.2,,2,2,1,0.862770847012,0.411758172596,0.41222114452
92,54,45,1954,2016,17225,658,0,12.2,,0,1,0,0.641168745896,0.315760245826,0.316197866149
93,55,35,25,2011,10174,388,1,11.1,,0,2,0,0.00678541136556,0.0894871899312,0.0896478121665
94,55,40,17,2016,10635,406,1,12.2,,5,2,1,0.00525279054498,0.0717855688423,0.0717749757517
95,56,40,649,2016,13740,525,1,12.2,,0,1,0,0.212738017072,0.18673873607,0.187196896217
96,57,35,1798,2016,16795,642,1,12.2,,4,2,1,0.589954038083,0.299840805598,0.300678952473
97,57,35,1384,2012,15221,580,1,20.6,,0,2,0,0.353437260414,0.281693538659,0.281348788198
98,58,55,1388,2016,15715,600,0,12.2,,0,1,0,0.455351280368,0.259857095257,0.259941804074
99,59,40,1191,2016,15115,577,0,12.2,,0,1,0,0.390676296783,0.237643922846,0.237633365664
100,60,25,2205,2016,17994,687,0,12.2,,0,1,0,0.723571897571,0.344230128466,0.344325897187
101,61,45,2933,2016,22693,867,0,12.2,,0,1,0,0.962573867367,0.5181962904,0.518913676043
102,62,45,908,2016,14345,548,1,12.2,,0,1,0,0.297767564018,0.209137018252,0.209505334627
103,63,35,1728,2007,18129,691,0,22.2,,0,5,0,0.679386309992,0.342137229723,0.342129208371
104,63,40,1256,2016,15282,584,0,12.2,,4,5,4,0.412015758372,0.243826589167,0.244422890398
105,63,35,1716,2010,17070,651,0,21.7,,3,5,1,0.595072866065,0.304619179311,0.304603330069
106,63,35,1885,2011,16048,612,0,11.1,,1,5,2,0.532654792197,0.32874424667,0.32870864461
107,63,40,2191,2012,16758,639,0,20.6,,1,5,3,0.559672885254,0.343492420892,0.343519494204
108,64,40,572,2014,14018,535,1,22.8,,0,2,0,0.161253883084,0.226121170755,0.226315789474
109,64,45,103,2016,11600,443,1,12.2,,2,2,1,0.0334865397242,0.10751175447,0.107662463628
110,65,35,758,2016,14029,536,0,12.2,,0,1,0,0.248522652659,0.197438080782,0.19786614937
111,66,35,411,2010,13626,520,0,21.7,,5,5,1,0.142262317835,0.175910008222,0.176297747307
112,66,40,719,2015,14081,537,0,11.7,,1,5,3,0.260901162791,0.215655502392,0.215646940822
113,66,40,794,2016,14105,539,0,12.2,,1,5,4,0.260341431385,0.200251749287,0.200775945684
114,66,35,600,2014,14084,537,0,22.8,,4,5,2,0.169161253883,0.228771028225,0.228421052632
115,66,30,437,2005,13887,530,0,18.9,,0,5,0,0.247586598524,0.210292911977,0.2109375
116,67,45,2578,2014,18918,722,1,22.8,,0,3,0,0.727760519627,0.422853013209,0.423157894737
117,67,45,1639,2015,16512,630,1,11.7,,1,3,1,0.595203488372,0.308708133971,0.308926780341
118,67,45,1349,2016,15565,595,1,12.2,,1,3,2,0.442547603414,0.254303802155,0.25509214355
119,68,35,631,2004,14706,561,1,20.6,,0,6,0,0.353733857383,0.258054462581,0.258426966292
120,68,40,483,2010,13797,526,1,21.7,,4,6,2,0.167244968772,0.182300620375,0.182174338883
121,68,40,1357,2011,14938,570,1,11.1,,1,6,3,0.383375742154,0.283532239013,0.283884738527
122,68,40,801,2006,14693,560,1,21.1,,2,6,1,0.322971336294,0.211280628756,0.211255411255
123,68,45,901,2016,14334,548,1,12.2,,4,6,5,0.295469468155,0.208729776758,0.209505334627
124,68,45,1995,2012,16357,624,1,20.6,,1,6,4,0.509583439816,0.327369225202,0.327713382508
125,69,45,56,2016,11069,423,1,12.2,,0,1,0,0.0180564674984,0.0878530968865,0.0882638215325
126,70,50,3018,2013,15035,573,1,19.4,7203.0,3,5,1,0.794993412385,0.437878202652,0.4375
127,70,55,1463,2014,16172,617,1,22.8,,1,5,2,0.412877718159,0.312602882724,0.312631578947
128,70,50,482,2010,13795,526,1,21.7,,0,5,0,0.166897987509,0.182225876373,0.182174338883
129,70,55,1385,2015,15866,605,1,11.7,,1,5,3,0.502906976744,0.283980861244,0.283851554664
130,70,55,1439,2016,15867,606,1,12.2,,1,5,4,0.47209455023,0.265484432268,0.265761396702
131,71,15,842,2016,14220,543,1,12.2,,0,1,0,0.27609980302,0.204509273999,0.204655674103
132,72,40,2401,2016,18882,721,1,12.2,,0,1,0,0.787918581747,0.377105623635,0.377303588749
133,73,40,1259,2016,15294,584,1,12.2,,0,1,0,0.413000656599,0.244270852616,0.244422890398
134,74,40,2320,2011,17008,649,0,11.1,,0,3,0,0.655640373198,0.367846523563,0.368196371398
